n,int
50,0.76
50,0.74
50,0.8
50,0.9
50,0.76
100,0.83
100,0.77
100,0.82
100,0.72
100,0.82
150,0.753333
150,0.793333
150,0.826667
150,0.786667
150,0.746667
200,0.795
200,0.815
200,0.805
200,0.8
200,0.8
250,0.828
250,0.756
250,0.772
250,0.82
250,0.776
300,0.776667
300,0.8
300,0.79
300,0.793333
300,0.793333
350,0.774286
350,0.811429
350,0.814286
350,0.791429
350,0.762857
400,0.78
400,0.7725
400,0.7775
400,0.8
400,0.7175
450,0.791111
450,0.82
450,0.768889
450,0.762222
450,0.808889
500,0.776
500,0.79
500,0.808
500,0.8
500,0.794
550,0.783636
550,0.772727
550,0.774545
550,0.770909
550,0.776364
600,0.77
600,0.77
600,0.761667
600,0.796667
600,0.788333
650,0.8
650,0.821538
650,0.776923
650,0.807692
650,0.783077
700,0.782857
700,0.777143
700,0.798571
700,0.781429
700,0.794286
750,0.774667
750,0.797333
750,0.8
750,0.765333
750,0.773333
800,0.765
800,0.7925
800,0.775
800,0.8175
800,0.78875
850,0.794118
850,0.785882
850,0.788235
850,0.785882
850,0.805882
900,0.771111
900,0.81
900,0.77
900,0.78
900,0.813333
950,0.798947
950,0.775789
950,0.781053
950,0.778947
950,0.792632
1000,0.794
1000,0.786
1000,0.795
1000,0.793
1000,0.77
1050,0.775238
1050,0.8
1050,0.799048
1050,0.785714
1050,0.778095
1100,0.784545
1100,0.791818
1100,0.799091
1100,0.780909
1100,0.77
1150,0.797391
1150,0.787826
1150,0.766087
1150,0.803478
1150,0.786957
1200,0.753333
1200,0.78
1200,0.779167
1200,0.756667
1200,0.768333
1250,0.7928
1250,0.7904
1250,0.7888
1250,0.7656
1250,0.7744
1300,0.784615
1300,0.800769
1300,0.776923
1300,0.776154
1300,0.797692
1350,0.775556
1350,0.762222
1350,0.797778
1350,0.787407
1350,0.801481
1400,0.775
1400,0.802857
1400,0.768571
1400,0.785714
1400,0.786429
1450,0.786897
1450,0.783448
1450,0.781379
1450,0.790345
1450,0.784138
1500,0.769333
1500,0.802667
1500,0.789333
1500,0.762667
1500,0.803333
1550,0.796774
1550,0.760645
1550,0.801935
1550,0.785806
1550,0.805161
1600,0.79625
1600,0.78875
1600,0.7925
1600,0.7825
1600,0.779375
1650,0.780606
1650,0.773333
1650,0.795758
1650,0.788485
1650,0.779394
1700,0.767647
1700,0.798824
1700,0.777647
1700,0.781176
1700,0.784118
1750,0.785714
1750,0.797714
1750,0.772
1750,0.8
1750,0.781714
1800,0.801667
1800,0.789444
1800,0.791667
1800,0.791667
1800,0.787222
1850,0.787568
1850,0.794054
1850,0.783784
1850,0.796757
1850,0.803784
1900,0.787368
1900,0.794737
1900,0.777368
1900,0.788421
1900,0.788421
1950,0.776923
1950,0.775385
1950,0.791282
1950,0.776923
1950,0.783077
2000,0.7825
2000,0.7885
2000,0.791
2000,0.7945
2000,0.7865
2050,0.779512
2050,0.788293
2050,0.8
2050,0.77561
2050,0.780976
2100,0.782381
2100,0.780952
2100,0.77619
2100,0.79
2100,0.779524
2150,0.789767
2150,0.798605
2150,0.793488
2150,0.768837
2150,0.770233
2200,0.789091
2200,0.77
2200,0.79
2200,0.787727
2200,0.785909
2250,0.790667
2250,0.774222
2250,0.778222
2250,0.772
2250,0.779111
2300,0.774348
2300,0.777391
2300,0.788261
2300,0.788261
2300,0.78913
2350,0.793191
2350,0.795319
2350,0.784255
2350,0.781277
2350,0.8
2400,0.790833
2400,0.7775
2400,0.790417
2400,0.80375
2400,0.783333
2450,0.783265
2450,0.778367
2450,0.783673
2450,0.786939
2450,0.790204
2500,0.776
2500,0.7828
2500,0.7992
2500,0.7876
2500,0.7932
2550,0.789412
2550,0.796471
2550,0.792941
2550,0.781569
2550,0.781176
2600,0.783846
2600,0.782692
2600,0.786538
2600,0.798077
2600,0.786923
2650,0.786038
2650,0.79283
2650,0.779623
2650,0.791321
2650,0.776981
2700,0.797037
2700,0.772222
2700,0.785185
2700,0.79
2700,0.783333
2750,0.794545
2750,0.784727
2750,0.773455
2750,0.782909
2750,0.793091
2800,0.781429
2800,0.782143
2800,0.783571
2800,0.784643
2800,0.782857
2850,0.78386
2850,0.780702
2850,0.779649
2850,0.776842
2850,0.785263
2900,0.783103
2900,0.768966
2900,0.803448
2900,0.798621
2900,0.797931
2950,0.78678
2950,0.782373
2950,0.794576
2950,0.78
2950,0.780678
3000,0.777667
3000,0.782333
3000,0.786333
3000,0.782667
3000,0.789333
3050,0.777049
3050,0.792459
3050,0.781311
3050,0.777705
3050,0.788852
3100,0.776129
3100,0.786774
3100,0.779032
3100,0.784516
3100,0.799677
3150,0.797143
3150,0.785714
3150,0.782857
3150,0.788254
3150,0.787619
3200,0.79
3200,0.8
3200,0.782813
3200,0.79
3200,0.789062
3250,0.772308
3250,0.784308
3250,0.782154
3250,0.788615
3250,0.777231
3300,0.787879
3300,0.775758
3300,0.791212
3300,0.785758
3300,0.783939
3350,0.777015
3350,0.790149
3350,0.788657
3350,0.787761
3350,0.801791
3400,0.791765
3400,0.787647
3400,0.782647
3400,0.782647
3400,0.794412
3450,0.774493
3450,0.786087
3450,0.763768
3450,0.785217
3450,0.790145
3500,0.781143
3500,0.789714
3500,0.800286
3500,0.776857
3500,0.790286
3550,0.773521
3550,0.77831
3550,0.785634
3550,0.776338
3550,0.777183
3600,0.789167
3600,0.778889
3600,0.79
3600,0.789722
3600,0.792778
3650,0.784658
3650,0.792055
3650,0.791233
3650,0.793151
3650,0.77863
3700,0.788649
3700,0.777838
3700,0.788378
3700,0.776486
3700,0.788919
3750,0.786933
3750,0.787733
3750,0.7848
3750,0.780267
3750,0.784
3800,0.793158
3800,0.778684
3800,0.79
3800,0.779211
3800,0.794737
3850,0.791948
3850,0.791688
3850,0.774286
3850,0.784416
3850,0.791429
3900,0.776154
3900,0.783077
3900,0.796154
3900,0.781538
3900,0.788718
3950,0.78557
3950,0.785316
3950,0.782278
3950,0.787848
3950,0.795949
4000,0.78675
4000,0.78
4000,0.7805
4000,0.792
4000,0.7885
4050,0.792346
4050,0.78321
4050,0.781975
4050,0.778025
4050,0.784198
4100,0.78561
4100,0.783415
4100,0.773902
4100,0.783902
4100,0.787805
4150,0.782892
4150,0.774217
4150,0.791807
4150,0.786506
4150,0.793494
4200,0.77619
4200,0.793571
4200,0.786667
4200,0.777619
4200,0.783571
4250,0.788941
4250,0.774588
4250,0.780471
4250,0.787529
4250,0.787765
4300,0.796977
4300,0.78
4300,0.776512
4300,0.792558
4300,0.78907
4350,0.782529
4350,0.787356
4350,0.788276
4350,0.790345
4350,0.784368
4400,0.790909
4400,0.768409
4400,0.788182
4400,0.772955
4400,0.785909
4450,0.784944
4450,0.799101
4450,0.779775
4450,0.784719
4450,0.793258
4500,0.781778
4500,0.775778
4500,0.787333
4500,0.785333
4500,0.794222
4550,0.777802
4550,0.802198
4550,0.778681
4550,0.780659
4550,0.788791
4600,0.786739
4600,0.792391
4600,0.783261
4600,0.782826
4600,0.787609
4650,0.776559
4650,0.778495
4650,0.787527
4650,0.779355
4650,0.778495
4700,0.797447
4700,0.791702
4700,0.786383
4700,0.786809
4700,0.786383
4750,0.789684
4750,0.788211
4750,0.793053
4750,0.784421
4750,0.786947
4800,0.790417
4800,0.780417
4800,0.779792
4800,0.787708
4800,0.782083
4850,0.781649
4850,0.773402
4850,0.783711
4850,0.779588
4850,0.784742
4900,0.776735
4900,0.787143
4900,0.786939
4900,0.780408
4900,0.782449
4950,0.777778
4950,0.784848
4950,0.779798
4950,0.77596
4950,0.780808
5000,0.7868
5000,0.7886
5000,0.7722
5000,0.7898
5000,0.7828
