n,int
50,0.194062
50,0.194062
50,0.177187
50,0.143438
50,0.177187
100,0.232031
100,0.206719
100,0.189844
100,0.206719
100,0.210938
150,0.19125
150,0.219375
150,0.208125
150,0.199687
150,0.196875
200,0.208828
200,0.183516
200,0.23625
200,0.181406
200,0.221484
250,0.214313
250,0.178875
250,0.197438
250,0.210938
250,0.185625
300,0.210938
300,0.175781
300,0.215156
300,0.201094
300,0.199687
350,0.183214
350,0.182009
350,0.210938
350,0.18683
350,0.203705
400,0.205664
400,0.199336
400,0.200391
400,0.185625
400,0.208828
450,0.195
450,0.21
450,0.203437
450,0.193125
450,0.201563
500,0.199125
500,0.204187
500,0.212625
500,0.203344
500,0.205875
550,0.204034
550,0.207869
550,0.200966
550,0.212472
550,0.192528
600,0.21375
600,0.203203
600,0.205313
600,0.199687
600,0.196172
650,0.195361
650,0.186274
650,0.192764
650,0.19601
650,0.197308
700,0.206116
700,0.18442
700,0.194665
700,0.207924
700,0.192254
750,0.210375
750,0.192375
750,0.19125
750,0.194625
750,0.208687
800,0.198809
800,0.18668
800,0.191426
800,0.19459
800,0.196172
850,0.204485
850,0.202004
850,0.194062
850,0.188603
850,0.202996
900,0.193594
900,0.222656
900,0.204375
900,0.205313
900,0.202031
950,0.209605
950,0.195839
950,0.17852
950,0.206497
950,0.209605
1000,0.193641
1000,0.202078
1000,0.203766
1000,0.197016
1000,0.206719
1050,0.198884
1050,0.194866
1050,0.202902
1050,0.191652
1050,0.196473
1100,0.206335
1100,0.20902
1100,0.191378
1100,0.196364
1100,0.208636
1150,0.197364
1150,0.207269
1150,0.18856
1150,0.203967
1150,0.203967
1200,0.196875
1200,0.196523
1200,0.198633
1200,0.203555
1200,0.198984
1250,0.20115
1250,0.19845
1250,0.203175
1250,0.206888
1250,0.1971
1300,0.191466
1300,0.202175
1300,0.200877
1300,0.207368
1300,0.202825
1350,0.197813
1350,0.199375
1350,0.19
1350,0.202813
1350,0.200625
1400,0.204308
1400,0.214554
1400,0.196775
1400,0.19346
1400,0.205815
1450,0.195226
1450,0.191735
1450,0.195517
1450,0.201627
1450,0.193481
1500,0.203344
1500,0.1935
1500,0.203906
1500,0.214875
1500,0.207844
1550,0.195423
1550,0.2025
1550,0.203317
1550,0.195696
1550,0.200323
1600,0.202764
1600,0.193535
1600,0.202236
1600,0.200391
1600,0.206719
1650,0.197642
1650,0.195852
1650,0.196619
1650,0.195852
1650,0.200966
1700,0.203493
1700,0.207215
1700,0.190092
1700,0.205478
1700,0.203741
1750,0.200813
1750,0.199607
1750,0.198643
1750,0.200571
1750,0.2025
1800,0.197109
1800,0.195937
1800,0.195937
1800,0.197578
1800,0.205313
1850,0.197027
