n,int
50,0.78
50,0.86
50,0.76
50,0.86
50,0.74
50,0.82
50,0.88
50,0.66
50,0.74
50,0.8
50,0.76
50,0.82
50,0.74
50,0.82
50,0.88
50,0.86
50,0.8
50,0.8
50,0.8
50,0.82
50,0.86
50,0.64
50,0.8
50,0.74
50,0.76
50,0.78
50,0.76
50,0.72
50,0.86
50,0.74
50,0.84
50,0.8
50,0.82
50,0.8
50,0.86
50,0.86
50,0.78
50,0.88
50,0.94
50,0.84
50,0.78
50,0.78
50,0.78
50,0.76
50,0.78
50,0.76
50,0.7
50,0.8
50,0.84
50,0.72
100,0.82
100,0.75
100,0.74
100,0.82
100,0.77
100,0.78
100,0.81
100,0.83
100,0.74
100,0.8
100,0.74
100,0.76
100,0.79
100,0.8
100,0.76
100,0.76
100,0.74
100,0.76
100,0.81
100,0.77
100,0.85
100,0.8
100,0.82
100,0.77
100,0.71
100,0.74
100,0.79
100,0.77
100,0.77
100,0.79
100,0.8
100,0.8
100,0.75
100,0.8
100,0.82
100,0.75
100,0.78
100,0.73
100,0.81
100,0.78
100,0.78
100,0.76
100,0.72
100,0.77
100,0.78
100,0.82
100,0.79
100,0.77
100,0.74
100,0.77
150,0.84
150,0.793333
150,0.786667
150,0.786667
150,0.746667
150,0.786667
150,0.766667
150,0.793333
150,0.766667
150,0.773333
150,0.78
150,0.733333
150,0.86
150,0.8
150,0.706667
150,0.78
150,0.773333
150,0.713333
150,0.833333
150,0.78
150,0.793333
150,0.746667
150,0.766667
150,0.793333
150,0.786667
150,0.786667
150,0.74
150,0.753333
150,0.773333
150,0.82
150,0.766667
150,0.786667
150,0.813333
150,0.82
150,0.786667
150,0.766667
150,0.793333
150,0.826667
150,0.78
150,0.78
150,0.766667
150,0.826667
150,0.846667
150,0.733333
150,0.813333
150,0.76
150,0.833333
150,0.78
150,0.706667
150,0.793333
200,0.805
200,0.815
200,0.82
200,0.765
200,0.725
200,0.81
200,0.755
200,0.835
200,0.76
200,0.79
200,0.825
200,0.795
200,0.8
200,0.83
200,0.8
200,0.845
200,0.82
200,0.795
200,0.785
200,0.815
200,0.775
200,0.77
200,0.765
200,0.77
200,0.78
200,0.81
200,0.78
200,0.775
200,0.79
200,0.775
200,0.77
200,0.82
200,0.77
200,0.805
200,0.735
200,0.79
200,0.785
200,0.82
200,0.81
200,0.78
200,0.855
200,0.8
200,0.795
200,0.82
200,0.795
200,0.78
200,0.73
200,0.785
200,0.78
200,0.795
250,0.792
250,0.828
250,0.804
250,0.788
250,0.752
250,0.788
250,0.824
250,0.784
250,0.784
250,0.748
250,0.796
250,0.784
250,0.78
250,0.724
250,0.788
250,0.796
250,0.792
250,0.788
250,0.824
250,0.796
250,0.74
250,0.796
250,0.784
250,0.816
250,0.804
250,0.8
250,0.796
250,0.8
250,0.764
250,0.752
250,0.76
250,0.784
250,0.736
250,0.808
250,0.784
250,0.78
250,0.772
250,0.784
250,0.812
250,0.824
250,0.78
250,0.82
250,0.768
250,0.808
250,0.752
250,0.776
250,0.832
250,0.744
250,0.832
250,0.792
300,0.806667
300,0.8
300,0.783333
300,0.72
300,0.79
300,0.763333
300,0.796667
300,0.766667
300,0.833333
300,0.776667
300,0.82
300,0.806667
300,0.786667
300,0.756667
300,0.78
300,0.736667
300,0.78
300,0.816667
300,0.77
300,0.83
300,0.786667
300,0.826667
300,0.763333
300,0.786667
300,0.803333
300,0.796667
300,0.763333
300,0.806667
300,0.75
300,0.79
300,0.79
300,0.78
300,0.77
300,0.75
300,0.773333
300,0.773333
300,0.83
300,0.773333
300,0.756667
300,0.8
300,0.786667
300,0.783333
300,0.8
300,0.726667
300,0.786667
300,0.763333
300,0.76
300,0.8
300,0.793333
300,0.786667
350,0.811429
350,0.777143
350,0.802857
350,0.754286
350,0.762857
350,0.751429
350,0.788571
350,0.802857
350,0.771429
350,0.797143
350,0.757143
350,0.794286
350,0.785714
350,0.722857
350,0.797143
350,0.788571
350,0.768571
350,0.8
350,0.842857
350,0.808571
350,0.762857
350,0.8
350,0.797143
350,0.788571
350,0.782857
350,0.771429
350,0.794286
350,0.797143
350,0.805714
350,0.748571
350,0.771429
350,0.765714
350,0.777143
350,0.788571
350,0.771429
350,0.788571
350,0.811429
350,0.765714
350,0.794286
350,0.782857
350,0.785714
350,0.754286
350,0.785714
350,0.754286
350,0.788571
350,0.794286
350,0.782857
350,0.814286
350,0.745714
350,0.785714
400,0.77
400,0.7775
400,0.82
400,0.7625
400,0.8275
400,0.7875
400,0.775
400,0.8
400,0.8025
400,0.7725
400,0.83
400,0.7725
400,0.765
400,0.81
400,0.77
400,0.8075
400,0.775
400,0.765
400,0.7475
400,0.79
400,0.7875
400,0.78
400,0.77
400,0.8025
400,0.7975
400,0.7925
400,0.7875
400,0.78
400,0.755
400,0.7625
400,0.7975
400,0.8075
400,0.78
400,0.7975
400,0.74
400,0.7625
400,0.8075
400,0.7975
400,0.78
400,0.775
400,0.7825
400,0.7875
400,0.79
400,0.77
400,0.76
400,0.8
400,0.7975
400,0.78
400,0.77
400,0.795
450,0.804444
450,0.784444
450,0.748889
450,0.815556
450,0.782222
450,0.797778
450,0.786667
450,0.775556
450,0.806667
450,0.788889
450,0.768889
450,0.775556
450,0.777778
450,0.791111
450,0.762222
450,0.791111
450,0.788889
450,0.806667
450,0.78
450,0.804444
450,0.755556
450,0.804444
450,0.791111
450,0.78
450,0.771111
450,0.815556
450,0.788889
450,0.788889
450,0.782222
450,0.788889
450,0.748889
450,0.788889
450,0.788889
450,0.771111
450,0.773333
450,0.782222
450,0.777778
450,0.782222
450,0.802222
450,0.797778
450,0.782222
450,0.795556
450,0.782222
450,0.795556
450,0.806667
450,0.797778
450,0.791111
450,0.788889
450,0.795556
450,0.755556
500,0.754
500,0.798
500,0.768
500,0.774
500,0.776
500,0.764
500,0.788
500,0.776
500,0.784
500,0.784
500,0.78
500,0.816
500,0.79
500,0.784
500,0.796
500,0.782
500,0.802
500,0.818
500,0.778
500,0.788
500,0.788
500,0.778
500,0.774
500,0.746
500,0.814
500,0.794
500,0.822
500,0.784
500,0.776
500,0.772
500,0.76
500,0.774
500,0.776
500,0.788
500,0.768
500,0.764
500,0.774
500,0.77
500,0.76
500,0.778
500,0.766
500,0.802
500,0.8
500,0.774
500,0.776
500,0.792
500,0.782
500,0.786
500,0.8
500,0.822
550,0.783636
550,0.807273
550,0.76
550,0.8
550,0.8
550,0.796364
550,0.774545
550,0.82
550,0.796364
550,0.783636
550,0.76
550,0.78
550,0.783636
550,0.82
550,0.761818
550,0.807273
550,0.765455
550,0.787273
550,0.774545
550,0.778182
550,0.8
550,0.770909
550,0.810909
550,0.796364
550,0.761818
550,0.805455
550,0.772727
550,0.807273
550,0.803636
550,0.78
550,0.769091
550,0.792727
550,0.76
550,0.767273
550,0.783636
550,0.809091
550,0.754545
550,0.770909
550,0.790909
550,0.781818
550,0.801818
550,0.801818
550,0.765455
550,0.774545
550,0.796364
550,0.789091
550,0.794545
550,0.734545
550,0.810909
550,0.774545
600,0.763333
600,0.796667
600,0.79
600,0.8
600,0.78
600,0.768333
600,0.77
600,0.811667
600,0.793333
600,0.771667
600,0.795
600,0.795
600,0.763333
600,0.763333
600,0.793333
600,0.783333
600,0.785
600,0.781667
600,0.778333
600,0.826667
600,0.796667
600,0.806667
600,0.783333
600,0.785
600,0.8
600,0.775
600,0.806667
600,0.8
600,0.781667
600,0.786667
600,0.801667
600,0.79
600,0.793333
600,0.818333
600,0.778333
600,0.783333
600,0.763333
600,0.771667
600,0.766667
600,0.79
600,0.786667
600,0.8
600,0.775
600,0.836667
600,0.786667
600,0.805
600,0.798333
600,0.811667
600,0.786667
600,0.768333
650,0.776923
650,0.767692
650,0.784615
650,0.775385
650,0.789231
650,0.772308
650,0.761538
650,0.74
650,0.776923
650,0.823077
650,0.773846
650,0.796923
650,0.792308
650,0.76
650,0.816923
650,0.78
650,0.787692
650,0.776923
650,0.769231
650,0.770769
650,0.753846
650,0.769231
650,0.793846
650,0.789231
650,0.78
650,0.803077
650,0.8
650,0.795385
650,0.763077
650,0.786154
650,0.812308
650,0.8
650,0.776923
650,0.795385
650,0.775385
650,0.823077
650,0.787692
650,0.801538
650,0.813846
650,0.767692
650,0.812308
650,0.766154
650,0.804615
650,0.795385
650,0.787692
650,0.775385
650,0.787692
650,0.770769
650,0.770769
650,0.798462
700,0.782857
700,0.788571
700,0.79
700,0.78
700,0.77
700,0.795714
700,0.755714
700,0.777143
700,0.768571
700,0.798571
700,0.758571
700,0.791429
700,0.79
700,0.792857
700,0.767143
700,0.805714
700,0.767143
700,0.792857
700,0.767143
700,0.775714
700,0.774286
700,0.794286
700,0.774286
700,0.788571
700,0.775714
700,0.817143
700,0.784286
700,0.808571
700,0.781429
700,0.777143
700,0.781429
700,0.787143
700,0.79
700,0.801429
700,0.778571
700,0.774286
700,0.808571
700,0.781429
700,0.747143
700,0.768571
700,0.79
700,0.785714
700,0.775714
700,0.802857
700,0.764286
700,0.781429
700,0.787143
700,0.77
700,0.777143
700,0.804286
750,0.805333
750,0.781333
750,0.785333
750,0.762667
750,0.788
750,0.78
750,0.804
750,0.801333
750,0.790667
750,0.773333
750,0.769333
750,0.789333
750,0.769333
750,0.788
750,0.78
750,0.784
750,0.781333
750,0.792
750,0.789333
750,0.773333
750,0.785333
750,0.805333
750,0.782667
750,0.772
750,0.765333
750,0.774667
750,0.792
750,0.793333
750,0.814667
750,0.782667
750,0.781333
750,0.812
750,0.810667
750,0.794667
750,0.773333
750,0.789333
750,0.812
750,0.781333
750,0.766667
750,0.78
750,0.8
750,0.773333
750,0.773333
750,0.794667
750,0.794667
750,0.770667
750,0.794667
750,0.774667
750,0.8
750,0.765333
800,0.7725
800,0.8025
800,0.78875
800,0.79375
800,0.795
800,0.79625
800,0.785
800,0.785
800,0.76875
800,0.815
800,0.76875
800,0.79375
800,0.78
800,0.76875
800,0.77625
800,0.79875
800,0.8
800,0.795
800,0.80125
800,0.7725
800,0.7875
800,0.7725
800,0.77125
800,0.775
800,0.78125
800,0.79125
800,0.7825
800,0.79125
800,0.79375
800,0.77625
800,0.79625
800,0.8025
800,0.7775
800,0.7875
800,0.79
800,0.75875
800,0.775
800,0.765
800,0.79
800,0.8075
800,0.795
800,0.78875
800,0.78125
800,0.7825
800,0.77375
800,0.78875
800,0.78625
800,0.79875
800,0.79125
800,0.77625
850,0.771765
850,0.781176
850,0.781176
850,0.776471
850,0.803529
850,0.794118
850,0.775294
850,0.790588
850,0.792941
850,0.792941
850,0.783529
850,0.792941
850,0.805882
850,0.812941
850,0.785882
850,0.790588
850,0.768235
850,0.790588
850,0.802353
850,0.76
850,0.804706
850,0.78
850,0.789412
850,0.797647
850,0.776471
850,0.789412
850,0.8
850,0.784706
850,0.781176
850,0.778824
850,0.783529
850,0.772941
850,0.778824
850,0.791765
850,0.787059
850,0.785882
850,0.770588
850,0.774118
850,0.761176
850,0.777647
850,0.78
850,0.808235
850,0.789412
850,0.798824
850,0.797647
850,0.810588
850,0.805882
850,0.772941
850,0.781176
850,0.765882
900,0.791111
900,0.79
900,0.798889
900,0.791111
900,0.771111
900,0.798889
900,0.762222
900,0.771111
900,0.803333
900,0.784444
900,0.775556
900,0.8
900,0.783333
900,0.791111
900,0.782222
900,0.783333
900,0.781111
900,0.8
900,0.787778
900,0.8
900,0.788889
900,0.774444
900,0.783333
900,0.764444
900,0.814444
900,0.777778
900,0.787778
900,0.772222
900,0.76
900,0.802222
900,0.805556
900,0.791111
900,0.772222
900,0.763333
900,0.791111
900,0.786667
900,0.773333
900,0.777778
900,0.794444
900,0.782222
900,0.79
900,0.798889
900,0.781111
900,0.79
900,0.797778
900,0.777778
900,0.772222
900,0.77
900,0.781111
900,0.792222
950,0.765263
950,0.796842
950,0.788421
950,0.770526
950,0.782105
950,0.782105
950,0.781053
950,0.813684
950,0.76
950,0.774737
950,0.804211
950,0.781053
950,0.773684
950,0.798947
950,0.772632
950,0.778947
950,0.801053
950,0.770526
950,0.801053
950,0.793684
950,0.788421
950,0.798947
950,0.798947
950,0.769474
950,0.8
950,0.784211
950,0.768421
950,0.811579
950,0.777895
950,0.777895
950,0.784211
950,0.798947
950,0.778947
950,0.785263
950,0.791579
950,0.768421
950,0.78
950,0.8
950,0.774737
950,0.784211
950,0.758947
950,0.767368
950,0.794737
950,0.793684
950,0.784211
950,0.791579
950,0.802105
950,0.769474
950,0.776842
950,0.815789
1000,0.772
1000,0.795
1000,0.779
1000,0.772
1000,0.792
1000,0.78
1000,0.794
1000,0.766
1000,0.775
1000,0.766
1000,0.791
1000,0.775
1000,0.798
1000,0.763
1000,0.798
1000,0.768
1000,0.771
1000,0.768
1000,0.778
1000,0.764
1000,0.782
1000,0.784
1000,0.762
1000,0.801
1000,0.803
1000,0.757
1000,0.772
1000,0.782
1000,0.783
1000,0.775
1000,0.769
1000,0.791
1000,0.781
1000,0.777
1000,0.799
1000,0.789
1000,0.789
1000,0.787
1000,0.784
1000,0.782
1000,0.791
1000,0.797
1000,0.8
1000,0.78
1000,0.787
1000,0.816
1000,0.779
1000,0.803
1000,0.798
1000,0.796
1050,0.808571
1050,0.8
1050,0.786667
1050,0.806667
1050,0.792381
1050,0.792381
1050,0.791429
1050,0.799048
1050,0.777143
1050,0.78
1050,0.770476
1050,0.790476
1050,0.79619
1050,0.777143
1050,0.800952
1050,0.771429
1050,0.788571
1050,0.749524
1050,0.78
1050,0.780952
1050,0.811429
1050,0.811429
1050,0.778095
1050,0.764762
1050,0.775238
