n,int
50,12.16
50,13.44
50,11.2
50,12.48
50,11.52
50,10.56
50,10.24
50,13.12
50,12.8
50,11.52
50,10.56
50,13.44
50,13.44
50,12.16
50,12.8
50,12.8
50,10.88
50,11.84
50,11.2
50,12.8
50,11.2
50,11.84
50,13.44
50,9.92
50,11.84
50,10.56
50,11.52
50,13.44
50,12.16
50,12.48
50,12.48
50,10.88
50,12.16
50,11.52
50,12.8
50,13.12
50,12.48
50,10.56
50,10.88
50,12.48
50,13.44
50,12.8
50,12.48
50,12.16
50,12.48
50,12.16
50,12.8
50,11.2
50,11.2
50,11.52
100,10.88
100,11.84
100,12.48
100,11.04
100,11.84
100,13.12
100,11.84
100,12.64
100,10.88
100,11.84
100,13.12
100,12.16
100,9.76
100,12.16
100,12.8
100,13.28
100,11.84
100,12.8
100,12.48
100,13.12
100,12
100,11.36
100,11.84
100,10.56
100,12.8
100,12
100,13.12
100,12
100,12.32
100,12.32
100,11.36
100,12.96
100,11.84
100,12.64
100,11.68
100,11.68
100,12.16
100,11.84
100,12
100,12.48
100,11.84
100,12.8
100,12.96
100,12
100,12.16
100,11.36
100,11.52
100,11.84
100,12.48
100,12.64
150,12.5867
150,12.5867
150,12.16
150,11.7333
150,12.2667
150,12.3733
150,10.3467
150,12.48
150,12.16
150,12.2667
150,12.3733
150,12.48
150,12.6933
150,12.0533
150,11.7333
150,11.3067
150,11.4133
150,11.4133
150,11.52
150,11.3067
150,11.52
150,12.16
150,12.6933
150,10.88
150,11.84
150,11.2
150,12.0533
150,12.5867
150,10.6667
150,11.7333
150,12.16
150,12.16
150,11.0933
150,12.3733
150,11.0933
150,12.48
150,12.0533
150,11.52
150,11.6267
150,11.7333
150,10.0267
150,12.16
150,11.6267
150,11.7333
150,12.48
150,12.2667
150,12.8
150,11.84
150,12.6933
150,12.3733
200,12.72
200,12.48
200,10.72
200,12.08
200,12
200,11.36
200,12.32
200,11.6
200,12
200,12.72
200,12.88
200,11.12
200,11.92
200,11.2
200,12.08
200,11.52
200,12
200,12.72
200,11.2
200,12.16
200,12.64
200,11.68
200,12.24
200,12.48
200,12.32
200,12.48
200,11.36
200,12.24
200,12.32
200,11.44
200,11.92
200,11.6
200,11.92
200,11.2
200,11.36
200,12.08
200,12.8
200,11.6
200,12.08
200,10.56
200,11.52
200,11.44
200,11.92
200,11.6
200,11.6
200,12.32
200,12
200,11.44
200,11.92
200,12.08
250,12.672
250,11.456
250,12.16
250,12.16
250,11.392
250,12.224
250,11.968
250,12.16
250,11.52
250,12.032
250,12.224
250,11.52
250,11.968
250,11.776
250,11.648
250,11.264
250,12.288
250,12.352
250,11.712
250,11.584
250,11.712
250,11.904
250,12.16
250,12.544
250,11.904
250,12.416
250,12.224
250,12.224
250,12.352
250,12.416
250,11.84
250,12.224
250,11.776
250,12.928
250,11.968
250,12.096
250,11.2
250,12.16
250,11.904
250,11.84
250,11.904
250,12.608
250,12.288
250,11.968
250,11.648
250,12.096
250,12.736
250,11.52
250,12.224
250,12.16
300,12.2667
300,12.6933
300,11.4133
300,12.0533
300,12.5333
300,12.4267
