n,p,tn
10000,0.5,13
10000,0.5,14
10000,0.5,15
10000,0.5,13
10000,0.5,15
10000,0.5,13
10000,0.5,13
10000,0.5,13
10000,0.5,15
10000,0.5,15
10000,0.5,14
10000,0.5,17
10000,0.5,15
10000,0.5,17
10000,0.5,15
10000,0.5,14
10000,0.5,19
10000,0.5,14
10000,0.5,15
10000,0.5,17
10000,0.5,16
10000,0.5,14
10000,0.5,12
10000,0.5,14
10000,0.5,17
10000,0.5,14
10000,0.5,14
10000,0.5,16
10000,0.5,14
10000,0.5,15
10000,0.5,13
10000,0.5,17
10000,0.5,18
10000,0.5,20
10000,0.5,14
10000,0.5,16
10000,0.5,13
10000,0.5,18
10000,0.5,14
10000,0.5,15
10000,0.5,15
10000,0.5,19
10000,0.5,14
10000,0.5,16
10000,0.5,14
10000,0.5,16
10000,0.5,13
10000,0.5,17
10000,0.5,18
10000,0.5,14
20000,0.5,14
20000,0.5,14
20000,0.5,23
20000,0.5,15
20000,0.5,15
20000,0.5,14
20000,0.5,20
20000,0.5,20
20000,0.5,16
20000,0.5,14
20000,0.5,15
20000,0.5,16
20000,0.5,17
20000,0.5,14
20000,0.5,14
20000,0.5,14
20000,0.5,15
20000,0.5,14
20000,0.5,21
20000,0.5,15
20000,0.5,14
20000,0.5,14
20000,0.5,13
20000,0.5,14
20000,0.5,15
20000,0.5,15
20000,0.5,14
20000,0.5,17
20000,0.5,13
20000,0.5,18
20000,0.5,15
20000,0.5,17
20000,0.5,18
20000,0.5,15
20000,0.5,16
20000,0.5,17
20000,0.5,15
20000,0.5,16
20000,0.5,16
20000,0.5,15
20000,0.5,16
20000,0.5,14
20000,0.5,15
20000,0.5,18
20000,0.5,19
20000,0.5,14
20000,0.5,14
20000,0.5,21
20000,0.5,14
20000,0.5,15
30000,0.5,13
30000,0.5,19
30000,0.5,15
30000,0.5,18
30000,0.5,15
30000,0.5,14
30000,0.5,15
30000,0.5,14
30000,0.5,14
30000,0.5,15
30000,0.5,17
30000,0.5,14
30000,0.5,15
30000,0.5,18
30000,0.5,15
30000,0.5,15
30000,0.5,19
30000,0.5,16
30000,0.5,21
30000,0.5,16
30000,0.5,16
30000,0.5,15
30000,0.5,17
30000,0.5,17
30000,0.5,15
30000,0.5,18
30000,0.5,15
30000,0.5,20
30000,0.5,13
30000,0.5,16
30000,0.5,17
30000,0.5,17
30000,0.5,14
30000,0.5,15
30000,0.5,15
30000,0.5,18
30000,0.5,17
30000,0.5,16
30000,0.5,16
30000,0.5,17
30000,0.5,15
30000,0.5,13
30000,0.5,16
30000,0.5,13
30000,0.5,16
30000,0.5,15
30000,0.5,18
30000,0.5,17
30000,0.5,14
30000,0.5,17
40000,0.5,15
40000,0.5,16
40000,0.5,16
40000,0.5,16
40000,0.5,16
40000,0.5,17
40000,0.5,17
40000,0.5,16
40000,0.5,16
40000,0.5,14
40000,0.5,17
40000,0.5,18
40000,0.5,19
40000,0.5,17
40000,0.5,19
40000,0.5,17
40000,0.5,21
40000,0.5,17
40000,0.5,16
40000,0.5,17
40000,0.5,17
40000,0.5,16
40000,0.5,16
40000,0.5,16
40000,0.5,16
40000,0.5,15
40000,0.5,14
40000,0.5,17
40000,0.5,16
40000,0.5,18
40000,0.5,19
40000,0.5,17
40000,0.5,14
40000,0.5,16
40000,0.5,16
40000,0.5,16
40000,0.5,15
40000,0.5,16
40000,0.5,17
40000,0.5,15
40000,0.5,15
40000,0.5,15
40000,0.5,19
40000,0.5,16
40000,0.5,15
40000,0.5,19
40000,0.5,16
40000,0.5,17
40000,0.5,15
40000,0.5,15
50000,0.5,16
50000,0.5,19
50000,0.5,16
50000,0.5,16
50000,0.5,17
50000,0.5,19
50000,0.5,17
50000,0.5,14
50000,0.5,14
50000,0.5,18
50000,0.5,19
50000,0.5,17
50000,0.5,16
50000,0.5,15
50000,0.5,19
50000,0.5,18
50000,0.5,16
50000,0.5,19
50000,0.5,18
50000,0.5,17
50000,0.5,15
50000,0.5,16
50000,0.5,16
50000,0.5,16
50000,0.5,19
50000,0.5,16
50000,0.5,15
50000,0.5,18
50000,0.5,23
