n,cmp,s
100,2506,2407
100,2634,2535
100,2370,2271
100,2631,2532
100,2353,2254
100,2752,2653
100,2535,2436
100,2529,2430
100,2408,2309
100,2671,2572
100,2570,2471
100,2463,2364
100,2579,2480
100,2442,2343
100,2334,2235
100,2618,2519
100,2679,2580
100,2541,2442
100,2329,2230
100,2973,2874
100,2493,2394
100,2343,2244
100,2337,2238
100,2580,2481
100,2459,2360
100,2739,2640
100,2701,2602
100,2449,2350
100,2606,2507
100,2287,2188
100,2630,2531
100,2623,2524
100,2301,2202
100,2714,2615
100,2899,2800
100,2394,2295
100,2291,2192
100,2456,2357
100,2603,2504
100,2336,2237
100,2683,2584
100,2582,2483
100,2506,2407
100,2655,2556
100,2180,2081
100,2709,2610
100,2972,2873
100,2674,2575
100,2614,2515
100,2502,2403
200,9693,9494
200,10123,9924
200,10786,10587
200,10050,9851
200,9137,8938
200,9975,9776
200,9364,9165
200,9713,9514
200,9695,9496
200,9493,9294
200,10526,10327
200,9887,9688
200,10489,10290
200,10475,10276
200,9277,9078
200,9462,9263
200,9816,9617
200,10017,9818
200,9457,9258
200,10071,9872
200,9886,9687
200,10606,10407
200,9777,9578
200,10309,10110
200,8806,8607
200,9792,9593
200,10229,10030
200,10357,10158
200,9727,9528
200,10731,10532
200,9950,9751
200,10174,9975
200,10352,10153
200,9161,8962
200,10139,9940
200,9755,9556
200,10091,9892
200,9969,9770
200,9886,9687
200,9971,9772
200,9469,9270
200,10221,10022
200,10143,9944
200,10284,10085
200,10427,10228
200,10623,10424
200,9763,9564
200,10252,10053
200,9493,9294
200,10152,9953
300,22990,22691
300,23977,23678
300,22530,22231
300,22588,22289
300,22320,22021
300,23314,23015
300,22160,21861
300,24034,23735
300,23253,22954
300,23371,23072
300,21041,20742
300,22301,22002
300,21993,21694
300,21912,21613
300,21849,21550
300,21815,21516
300,23375,23076
300,23486,23187
300,22886,22587
300,22529,22230
300,22988,22689
300,23694,23395
300,22254,21955
300,23679,23380
300,21946,21647
300,22220,21921
300,22539,22240
300,22156,21857
300,23601,23302
300,23211,22912
300,22677,22378
300,22688,22389
300,23622,23323
300,21627,21328
300,24317,24018
300,21698,21399
300,20951,20652
300,23755,23456
300,23884,23585
300,23520,23221
300,20863,20564
300,23499,23200
300,22284,21985
300,22447,22148
300,22961,22662
300,22223,21924
300,22960,22661
300,22428,22129
300,21144,20845
300,23072,22773
400,40227,39828
400,42266,41867
400,37589,37190
400,40563,40164
400,40688,40289
400,38372,37973
400,39819,39420
400,38231,37832
400,41572,41173
400,37664,37265
400,38894,38495
400,36428,36029
400,40005,39606
400,42761,42362
400,39891,39492
400,40000,39601
400,40730,40331
400,37890,37491
400,40586,40187
400,40879,40480
400,40137,39738
400,41104,40705
400,41460,41061
400,38275,37876
400,42396,41997
400,41179,40780
400,40487,40088
400,41885,41486
400,39426,39027
400,40914,40515
400,41292,40893
400,39921,39522
