n,p,tn
10000,0.1,82
10000,0.1,74
10000,0.1,91
10000,0.1,89
10000,0.1,100
10000,0.1,80
10000,0.1,79
10000,0.1,125
10000,0.1,91
10000,0.1,91
10000,0.1,90
10000,0.1,98
10000,0.1,102
10000,0.1,104
10000,0.1,80
10000,0.1,95
10000,0.1,104
10000,0.1,96
10000,0.1,92
10000,0.1,107
10000,0.1,103
10000,0.1,102
10000,0.1,119
10000,0.1,93
10000,0.1,97
10000,0.1,97
10000,0.1,93
10000,0.1,80
10000,0.1,96
10000,0.1,80
10000,0.1,123
10000,0.1,124
10000,0.1,79
10000,0.1,99
10000,0.1,92
10000,0.1,99
10000,0.1,105
10000,0.1,106
10000,0.1,126
10000,0.1,77
10000,0.1,100
10000,0.1,98
10000,0.1,101
10000,0.1,80
10000,0.1,85
10000,0.1,95
10000,0.1,80
10000,0.1,88
10000,0.1,94
10000,0.1,92
20000,0.1,142
20000,0.1,101
20000,0.1,96
20000,0.1,108
20000,0.1,91
20000,0.1,86
20000,0.1,100
20000,0.1,96
20000,0.1,87
20000,0.1,94
20000,0.1,110
20000,0.1,116
20000,0.1,101
20000,0.1,97
20000,0.1,96
20000,0.1,102
20000,0.1,89
20000,0.1,96
20000,0.1,106
20000,0.1,93
20000,0.1,113
20000,0.1,97
20000,0.1,119
20000,0.1,93
20000,0.1,93
20000,0.1,93
20000,0.1,88
20000,0.1,109
20000,0.1,95
20000,0.1,121
20000,0.1,96
20000,0.1,108
20000,0.1,86
20000,0.1,100
20000,0.1,98
20000,0.1,81
20000,0.1,87
20000,0.1,92
20000,0.1,106
20000,0.1,90
20000,0.1,116
20000,0.1,84
20000,0.1,91
20000,0.1,123
20000,0.1,100
20000,0.1,96
20000,0.1,102
20000,0.1,126
20000,0.1,93
20000,0.1,101
30000,0.1,103
30000,0.1,84
30000,0.1,106
30000,0.1,97
30000,0.1,105
30000,0.1,136
30000,0.1,97
30000,0.1,94
30000,0.1,92
30000,0.1,92
30000,0.1,108
30000,0.1,87
30000,0.1,112
30000,0.1,116
30000,0.1,101
30000,0.1,115
30000,0.1,116
30000,0.1,99
30000,0.1,111
30000,0.1,94
30000,0.1,121
30000,0.1,95
30000,0.1,100
30000,0.1,112
30000,0.1,101
30000,0.1,101
30000,0.1,105
30000,0.1,94
30000,0.1,98
30000,0.1,91
30000,0.1,109
30000,0.1,110
30000,0.1,105
30000,0.1,103
30000,0.1,123
30000,0.1,137
30000,0.1,110
30000,0.1,95
30000,0.1,122
30000,0.1,107
30000,0.1,114
30000,0.1,119
30000,0.1,108
30000,0.1,95
30000,0.1,113
30000,0.1,89
30000,0.1,102
30000,0.1,86
30000,0.1,92
30000,0.1,131
40000,0.1,88
40000,0.1,98
40000,0.1,110
40000,0.1,94
40000,0.1,106
40000,0.1,105
40000,0.1,117
40000,0.1,85
40000,0.1,97
40000,0.1,107
40000,0.1,98
40000,0.1,115
40000,0.1,109
40000,0.1,105
40000,0.1,96
40000,0.1,108
40000,0.1,108
40000,0.1,98
40000,0.1,97
40000,0.1,114
40000,0.1,106
40000,0.1,106
40000,0.1,98
40000,0.1,109
40000,0.1,98
40000,0.1,109
40000,0.1,117
40000,0.1,102
40000,0.1,97
40000,0.1,118
40000,0.1,139
40000,0.1,105
40000,0.1,99
40000,0.1,95
40000,0.1,99
40000,0.1,104
40000,0.1,105
40000,0.1,135
40000,0.1,108
40000,0.1,119
40000,0.1,100
40000,0.1,105
40000,0.1,102
40000,0.1,106
40000,0.1,93
40000,0.1,96
40000,0.1,89
40000,0.1,119
40000,0.1,115
40000,0.1,96
50000,0.1,109
50000,0.1,109
50000,0.1,113
50000,0.1,117
50000,0.1,127
50000,0.1,96
50000,0.1,101
50000,0.1,112
50000,0.1,97
50000,0.1,141
50000,0.1,105
50000,0.1,100
50000,0.1,119
50000,0.1,111
50000,0.1,92
50000,0.1,127
50000,0.1,98
50000,0.1,112
50000,0.1,103
50000,0.1,114
50000,0.1,127
50000,0.1,129
50000,0.1,104
50000,0.1,110
50000,0.1,119
50000,0.1,116
50000,0.1,127
50000,0.1,134
50000,0.1,144
50000,0.1,110
50000,0.1,101
50000,0.1,100
50000,0.1,124
50000,0.1,124
50000,0.1,97
50000,0.1,99
50000,0.1,97
50000,0.1,92
50000,0.1,115
50000,0.1,107
50000,0.1,95
50000,0.1,129
50000,0.1,107
50000,0.1,111
50000,0.1,112
50000,0.1,97
50000,0.1,105
50000,0.1,110
50000,0.1,120
50000,0.1,106
60000,0.1,124
60000,0.1,99
60000,0.1,111
60000,0.1,115
60000,0.1,112
60000,0.1,111
60000,0.1,103
60000,0.1,167
60000,0.1,101
60000,0.1,106
60000,0.1,133
60000,0.1,112
60000,0.1,114
60000,0.1,102
60000,0.1,108
60000,0.1,113
60000,0.1,118
60000,0.1,96
60000,0.1,96
60000,0.1,122
60000,0.1,112
60000,0.1,134
60000,0.1,100
60000,0.1,108
60000,0.1,97
60000,0.1,102
60000,0.1,94
60000,0.1,93
60000,0.1,122
60000,0.1,102
60000,0.1,147
60000,0.1,96
60000,0.1,88
60000,0.1,102
60000,0.1,124
60000,0.1,109
60000,0.1,109
60000,0.1,110
60000,0.1,92
60000,0.1,137
60000,0.1,109
60000,0.1,102
60000,0.1,126
60000,0.1,107
60000,0.1,118
60000,0.1,87
60000,0.1,98
60000,0.1,95
60000,0.1,105
60000,0.1,120
70000,0.1,121
70000,0.1,100
70000,0.1,103
70000,0.1,105
70000,0.1,133
70000,0.1,111
70000,0.1,103
70000,0.1,110
70000,0.1,98
70000,0.1,94
70000,0.1,120
70000,0.1,113
70000,0.1,139
70000,0.1,113
70000,0.1,112
70000,0.1,127
70000,0.1,108
70000,0.1,120
70000,0.1,119
70000,0.1,107
70000,0.1,122
70000,0.1,109
70000,0.1,108
70000,0.1,97
70000,0.1,99
70000,0.1,136
70000,0.1,107
70000,0.1,99
70000,0.1,124
70000,0.1,108
70000,0.1,110
70000,0.1,112
70000,0.1,105
70000,0.1,115
70000,0.1,102
70000,0.1,107
70000,0.1,109
70000,0.1,99
70000,0.1,103
70000,0.1,110
70000,0.1,96
70000,0.1,129
70000,0.1,110
70000,0.1,105
70000,0.1,124
70000,0.1,121
70000,0.1,113
70000,0.1,109
70000,0.1,98
70000,0.1,137
80000,0.1,96
80000,0.1,119
80000,0.1,109
80000,0.1,107
80000,0.1,113
80000,0.1,106
80000,0.1,107
80000,0.1,110
80000,0.1,125
80000,0.1,120
80000,0.1,112
80000,0.1,104
80000,0.1,104
80000,0.1,113
80000,0.1,124
80000,0.1,102
80000,0.1,100
80000,0.1,103
80000,0.1,180
80000,0.1,114
80000,0.1,104
80000,0.1,106
80000,0.1,115
80000,0.1,132
80000,0.1,106
80000,0.1,114
80000,0.1,135
80000,0.1,154
80000,0.1,116
80000,0.1,105
80000,0.1,109
80000,0.1,105
80000,0.1,100
80000,0.1,132
80000,0.1,123
80000,0.1,110
80000,0.1,103
80000,0.1,110
80000,0.1,122
80000,0.1,131
80000,0.1,133
80000,0.1,123
80000,0.1,93
80000,0.1,118
80000,0.1,117
80000,0.1,123
80000,0.1,105
80000,0.1,121
80000,0.1,113
80000,0.1,117
90000,0.1,107
90000,0.1,101
90000,0.1,114
90000,0.1,128
90000,0.1,102
90000,0.1,112
90000,0.1,112
90000,0.1,111
90000,0.1,117
90000,0.1,116
90000,0.1,106
90000,0.1,110
90000,0.1,100
90000,0.1,105
90000,0.1,121
90000,0.1,107
90000,0.1,113
90000,0.1,112
90000,0.1,99
90000,0.1,113
90000,0.1,112
90000,0.1,105
90000,0.1,113
90000,0.1,115
90000,0.1,101
90000,0.1,128
90000,0.1,131
90000,0.1,128
90000,0.1,107
90000,0.1,135
90000,0.1,169
90000,0.1,116
90000,0.1,111
90000,0.1,122
90000,0.1,115
90000,0.1,127
90000,0.1,110
90000,0.1,119
90000,0.1,113
90000,0.1,112
90000,0.1,112
90000,0.1,117
90000,0.1,108
90000,0.1,116
90000,0.1,117
